season,celebrity_name,results,exit_type,elimination_week,exit_week_inferred,last_active_week,n_rows,n_eliminated_flags,n_withdrew_flags,issues
30,Christine Chiu,Eliminated Week 3,eliminated,3.0,3.0,3,3,1,0,
30,Cody Rigsby,3rd Place,unknown,,,10,10,0,0,
30,Iman Shumpert,1st Place,unknown,,,10,10,0,0,
30,Jimmie Allen,Eliminated Week 8,eliminated,8.0,8.0,8,8,1,0,
30,JoJo Siwa,2nd Place,unknown,,,10,10,0,0,
30,Kenya Moore,Eliminated Week 6,eliminated,6.0,6.0,6,6,1,0,
30,Martin Kove,Eliminated Week 2,eliminated,2.0,2.0,2,2,1,0,
30,Matt James,Eliminated Week 4,eliminated,4.0,4.0,4,4,1,0,
30,Melanie C,Eliminated Week 5,eliminated,5.0,5.0,5,5,1,0,
30,Melora Hardin,Eliminated Week 9,eliminated,9.0,9.0,9,9,1,0,
30,"Mike ""The Miz"" Mizanin",Eliminated Week 7,eliminated,7.0,7.0,7,7,1,0,
30,Olivia Jade,Eliminated Week 8,eliminated,8.0,8.0,8,8,1,0,
30,Suni Lee,Eliminated Week 9,eliminated,9.0,9.0,9,9,1,0,
31,Charli D'Amelio,1st Place,unknown,,,10,10,0,0,
31,Cheryl Ladd,Eliminated Week 3,eliminated,3.0,3.0,3,3,1,0,
31,Daniel Durant,Eliminated Week 9,eliminated,9.0,9.0,9,9,1,0,
31,Gabby Windey,2nd Place,unknown,,,10,10,0,0,
31,Heidi D'Amelio,Eliminated Week 8,eliminated,8.0,8.0,8,8,1,0,
31,Jason Lewis,Eliminated Week 1,eliminated,1.0,1.0,1,1,1,0,
31,Jessie James Decker,Eliminated Week 6,eliminated,6.0,6.0,6,6,1,0,
31,Jordin Sparks,Eliminated Week 7,eliminated,7.0,7.0,7,7,1,0,
31,Joseph Baena,Eliminated Week 5,eliminated,5.0,5.0,5,5,1,0,
31,Sam Champion,Eliminated Week 4,eliminated,4.0,4.0,4,4,1,0,
31,Selma Blair,Withdrew,withdrew,,5.0,5,5,0,1,
31,Shangela,4th Place,unknown,,,10,10,0,0,
31,Teresa Giudice,Eliminated Week 2,eliminated,2.0,2.0,2,2,1,0,
31,Trevor Donovan,Eliminated Week 9,eliminated,9.0,9.0,9,9,1,0,
31,Vinny Guadagnino,Eliminated Week 8,eliminated,8.0,8.0,8,8,1,0,
31,Wayne Brady,3rd Place,unknown,,,10,10,0,0,
32,Adrian Peterson,Eliminated Week 4,eliminated,4.0,4.0,4,4,1,0,
32,Alyson Hannigan,5th Place,unknown,,,11,11,0,0,
32,Ariana Madix,3rd Place,unknown,,,11,11,0,0,
32,Barry Williams,Eliminated Week 8,eliminated,8.0,8.0,8,8,1,0,
32,Charity Lawson,4th Place,unknown,,,11,11,0,0,
32,Harry Jowsey,Eliminated Week 9,eliminated,9.0,9.0,9,9,1,0,
32,Jamie Lynn Spears,Eliminated Week 2,eliminated,2.0,2.0,2,2,1,0,
32,Jason Mraz,2nd Place,unknown,,,11,11,0,0,
32,Lele Pons,Eliminated Week 7,eliminated,7.0,7.0,7,7,1,0,
32,Matt Walsh,Eliminated Week 1,eliminated,1.0,1.0,1,1,1,0,
32,Mauricio Umansky,Eliminated Week 6,eliminated,6.0,6.0,6,6,1,0,
32,Mira Sorvino,Eliminated Week 5,eliminated,5.0,5.0,5,5,1,0,
32,Tyson Beckford,Eliminated Week 3,eliminated,3.0,3.0,3,3,1,0,
32,Xochitl Gomez,1st Place,unknown,,,11,11,0,0,
33,Anna Delvey,Eliminated Week 2,eliminated,2.0,2.0,2,2,1,0,
33,Brooks Nader,Eliminated Week 4,eliminated,4.0,4.0,4,4,1,0,
33,Chandler Kinney,3rd Place,unknown,,,9,9,0,0,
33,Danny Amendola,5th Place,unknown,,,9,9,0,0,
33,Dwight Howard ,Eliminated Week 7,eliminated,7.0,7.0,7,7,1,0,
33,Eric Roberts,Eliminated Week 3,eliminated,3.0,3.0,3,3,1,0,
33,Ilona Maher,2nd Place,unknown,,,9,9,0,0,
33,Jenn Tran,Eliminated Week 6,eliminated,6.0,6.0,6,6,1,0,
33,Joey Graziadei,1st Place,unknown,,,9,9,0,0,
33,Phaedra Parks,Eliminated Week 5,eliminated,5.0,5.0,5,5,1,0,
33,Reginald VelJohnson,Eliminated Week 3,eliminated,3.0,3.0,3,3,1,0,
33,Stephen Nedoroscik,4th Place,unknown,,,9,9,0,0,
33,Tori Spelling,Eliminated Week 2,eliminated,2.0,2.0,2,2,1,0,
34,Alix Earle,2nd Place,unknown,,,11,11,0,0,
34,Andy Richter,Eliminated Week 9,eliminated,9.0,9.0,9,9,1,0,
34,Baron Davis,Eliminated Week 2,eliminated,2.0,2.0,2,2,1,0,
34,Corey Feldman,Eliminated Week 2,eliminated,2.0,2.0,2,2,1,0,
34,Danielle Fishel,Eliminated Week 8,eliminated,8.0,8.0,8,8,1,0,
34,Dylan Efron,4th Place,unknown,,,11,11,0,0,
34,Elaine Hendrix,5th Place,unknown,,,11,11,0,0,
34,Hilaria Baldwin,Eliminated Week 4,eliminated,4.0,4.0,4,4,1,0,
34,Jen Affleck,Eliminated Week 7,eliminated,7.0,7.0,7,7,1,0,
34,Jordan Chiles,3rd Place,unknown,,,11,11,0,0,
34,Lauren Jauregui,Eliminated Week 3,eliminated,3.0,3.0,3,3,1,0,
34,Robert Irwin,1st Place,unknown,,,11,11,0,0,
34,Scott Hoying,Eliminated Week 6,eliminated,6.0,6.0,6,6,1,0,
34,Whitney Leavitt,Eliminated Week 10,eliminated,10.0,10.0,10,10,1,0,
